Year,Imported Denim Value (US$),Imported Denim Volume (kg),Quantity of Jeans (pairs),GHG Emissions (kg CO2-eq),Water Consumption (litres),Average Price of Jeans (US$/pair),Nominal Price of Jeans (US$/pair),CPI Clothing Index,Real Price of Jeans (US$/pair),YoY_Quantity_Change (%),YoY_RealPrice_Change (%),log_p,log_q
2000,1578020.0,280491.0,824513.0,27538734.2,3117483653.0,1.9138812850737343,1.9,101.1,1.5448071216617212,,,0.43489906220810337,13.622548187989086
2001,3309080.0,634964.0,1866498.0,62341033.2,7057228938.0,1.772881621089334,1.8,101.3,1.460612043435341,126.37581214607896,-5.450200031173679,0.37885555570961577,14.439574505811958
2002,3304760.0,497143.0,1461369.0,48809724.6,5525436189.0,2.2614137839245254,2.3,100.0,1.8906,-21.705300514653647,29.438888888888858,0.6368942390091469,14.194884225578342
2003,2265200.0,384706.0,1130856.0,37770590.4,4275766536.0,2.0030843891706813,2.0,97.2,1.691358024691358,-22.616669711756575,-10.538557881553057,0.5255317711556862,13.93848542603735
2004,1870150.0,305196.0,897134.0,29964275.6,3392063654.0,2.084582682185716,2.1,96.7,1.7851085832471565,-20.667706586868707,5.5429162357807815,0.579479244332263,13.706960516728868
2005,3037950.0,451486.0,1327158.0,44327077.2,5017984398.0,2.2890643013115244,2.3,95.4,1.981761006289308,47.93308468968962,11.016272337027022,0.6839858465429973,14.09855037178802
2006,1474170.0,221763.0,651880.0,21772792.0,2464758280.0,2.261413143523348,2.3,92.9,2.035091496232508,-50.8815077029261,2.6910656620021456,0.7105407791774454,13.387615774889925
2007,918560.0,149453.0,439322.0,14673354.8,1661076482.0,2.090858186023008,2.1,92.2,1.872234273318872,-32.60692151929803,-8.002452136187866,0.6271325162289634,12.992987908382132
2008,1338590.0,215740.0,634175.0,21181445.0,2397815675.0,2.11075807151023,2.1,89.2,1.9352017937219728,44.35311684823433,3.363228699551546,0.6602116072055477,13.360080220568
2009,784630.0,134270.0,394691.0,13182679.4,1492326671.0,1.9879602017781,2.0,87.6,1.8767123287671237,-37.76307801474357,-3.0223961730810656,0.629521484679734,12.885858459262767
2010,1474370.0,234081.0,688089.0,22982172.6,2601664509.0,2.142702470174643,2.1,84.1,2.0525564803805,74.33612623546016,9.369797859690854,0.7190860798126094,13.441673469014253
2011,1150510.0,142581.0,419122.0,13998674.8,1584700282.0,2.745047981256054,2.7,83.6,2.654784688995216,-39.08898412850663,29.3403964456596,0.9763635549817619,12.94591732597375
2012,625740.0,74461.0,218881.0,7310625.4,827589061.0,2.8588136932853927,2.9,82.8,2.878985507246377,-47.77630379698513,8.445160135981379,1.0574379776633487,12.296283482119337
2013,1024860.0,108950.0,320262.0,10696750.8,1210910622.0,3.2000674447795867,3.2,82.2,3.2,46.31786221736927,11.150264283916433,1.1631508098056809,12.676894689782966
2014,646140.0,59399.0,174605.0,5831807.0,660181505.0,3.700581312104464,3.7,83.1,3.659927797833936,-45.48057527899033,14.372743682310496,1.2974434198509108,12.070281558861918
2015,829940.0,90402.0,265740.0,8875716.0,1004762940.0,3.123127869345977,3.1,84.5,3.015621301775148,52.19495432547752,-17.604349912042238,1.1038058791901066,12.490273666145299
2016,689140.0,68658.0,201823.0,6740888.2,763092763.0,3.4145761384975946,3.4,84.1,3.323186682520809,-24.052457289079555,10.199071765563295,1.2009241667053476,12.21514635463899
2018,414120.0,38171.0,112205.0,3747647.0,424247105.0,3.690744619223742,3.7,83.9,3.625029797377831,-44.404255213726884,9.082941877585359,1.2878625082391526,11.628082834357677
2019,404780.0,48461.0,142453.0,4757930.2,538614793.0,2.841498599538093,2.8,85.1,2.7045828437132786,26.957800454525206,-25.39143138438086,0.994947683663964,11.866767399725354
2020,125490.0,13909.0,40886.0,1365592.4,154589966.0,3.069265763341975,3.1,83.3,3.05906362545018,-71.29860375000878,13.10667123992455,1.1181088643804378,10.618542985144954
2021,110230.0,13277.0,39028.0,1303535.2,147564868.0,2.824382494619248,2.8,82.0,2.8068292682926828,-4.544342806828738,-8.245476003147134,1.0320554719790394,10.57203461622784
2022,190920.0,21923.0,64443.0,2152396.2,243658983.0,2.962618127647689,3.0,82.2,3.0,65.11991390796352,6.88216892596456,1.0986122886681098,11.073536391142087
2023,308740.0,54234.0,159423.0,5324728.2,602778363.0,1.9366088958305887,1.9,82.5,1.8930909090909087,147.3860621013919,-36.896969696969705,0.6382108948938935,11.979316326020887
